combination_zip,duplicate_ids
"(3760, 'DNG', 42177)",[16630]
"(3760, 'DNG', 68062)",[16630]
"(3760, 'DNG', 69061)",[16630]
"(3760, 'DNG', 69655)",[16630]
"(3760, 'DNG', 69657)",[16630]
"(3760, 'DNG', 104906)",[16630]
"(3760, 'DNG', 146674)",[16630]
"(3760, 'DNG', 180874)",[16630]
"(3760, 'DNG', 221223)",[16630]
"(3760, 'DNG', 224201)",[16630]
"(3760, 'DNG', 270753)",[16630]
"(3760, 'DNG', 335777)",[16630]
"(3760, 'DNG', 458780)",[16630]
"(3760, 'DNG', 550441)",[16630]
"(3760, 'DNG', 647852)",[16630]
"(3760, 'DNG', 1258305)",[16630]
"(3760, 'DNG', 1816300)",[16630]
"(3760, 'DNG', 1816301)",[16630]
"(3760, 'DNG', 1822996)",[16630]
"(3760, 'DNG', 2515773)",[16630]
"(3760, 'DNG', 3459673)",[16630]
"(3760, 'DNG', 3459674)",[16630]
"(3760, 'DNG', 3759243)",[16630]
"(3761, 'BCONG', 800)",[16630]
"(3761, 'BCONG', 1796)",[16630]
"(3761, 'BCONG', 3751)",[16630]
"(3761, 'BCONG', 36031)",[16630]
"(3761, 'BCONG', 42177)",[16630]
"(3761, 'BCONG', 68062)",[16630]
"(3761, 'BCONG', 69061)",[16630]
"(3761, 'BCONG', 69655)",[16630]
"(3761, 'BCONG', 69657)",[16630]
"(3761, 'BCONG', 104906)",[16630]
"(3761, 'BCONG', 146674)",[16630]
"(3761, 'BCONG', 180874)",[16630]
"(3761, 'BCONG', 221223)",[16630]
"(3761, 'BCONG', 224201)",[16630]
"(3761, 'BCONG', 270753)",[16630]
"(3761, 'BCONG', 335777)",[16630]
"(3761, 'BCONG', 458780)",[16630]
"(3761, 'BCONG', 550441)",[16630]
"(3761, 'BCONG', 647852)",[16630]
"(3761, 'BCONG', 1258305)",[16630]
"(3761, 'BCONG', 1816300)",[16630]
"(3761, 'BCONG', 1816301)",[16630]
"(3761, 'BCONG', 1822996)",[16630]
"(3761, 'BCONG', 2515773)",[16630]
"(3761, 'BCONG', 3459673)",[16630]
"(3761, 'BCONG', 3459674)",[16630]
"(3761, 'BCONG', 3759243)",[16630]
"(3761, 'DIN', 800)",[16630]
"(3761, 'DIN', 1796)",[16630]
"(3761, 'DIN', 3751)",[16630]
"(3761, 'DIN', 36031)",[16630]
"(3761, 'DIN', 42177)",[16630]
"(3761, 'DIN', 68062)",[16630]
"(3761, 'DIN', 69061)",[16630]
"(3761, 'DIN', 69655)",[16630]
