credential_id,credential_name,client_id,client_name,dynamic_commission,action
32964,Nautalia_643_CiudadReal,1555,NAUTALIA VIAJES,TRUE,-0.5
32965,Nautalia_329_Valencia,1555,NAUTALIA VIAJES,TRUE,-0.5
32966,Nautalia_654_Cuenca,1555,NAUTALIA VIAJES,TRUE,-0.5
32967,Nautalia_616_Guadalajara,1555,NAUTALIA VIAJES,TRUE,-0.5
32968,Nautalia_641_AzuquecadeHenares,1555,NAUTALIA VIAJES,TRUE,-0.5
32969,Nautalia_632_Toledo,1555,NAUTALIA VIAJES,TRUE,-0.5
32972,Nautalia_759_AlcazardeSanJuan,1555,NAUTALIA VIAJES,TRUE,-0.5
32973,Nautalia_780_CasasIbañez,1555,NAUTALIA VIAJES,TRUE,-0.5
32974,Nautalia_534_Avila,1555,NAUTALIA VIAJES,TRUE,-0.5
32975,Nautalia_513_Burgos,1555,NAUTALIA VIAJES,TRUE,-0.5
32976,Nautalia_324_Valencia,1555,NAUTALIA VIAJES,TRUE,-0.5
32977,Nautalia_313_Valencia,1555,NAUTALIA VIAJES,TRUE,-0.5
32978,Nautalia_321_Valencia,1555,NAUTALIA VIAJES,TRUE,-0.5
32979,Nautalia_339_Cartagena,1555,NAUTALIA VIAJES,TRUE,-0.5
32980,Nautalia_338_Murcia,1555,NAUTALIA VIAJES,TRUE,-0.5
32981,Nautalia_328_Villareal,1555,NAUTALIA VIAJES,TRUE,-0.5
32982,Nautalia_345_Castellon,1555,NAUTALIA VIAJES,TRUE,-0.5
32983,Nautalia_347_Alcoy,1555,NAUTALIA VIAJES,TRUE,-0.5
32984,Nautalia_512_Burgos,1555,NAUTALIA VIAJES,TRUE,-0.5
32985,Nautalia_312_Elda,1555,NAUTALIA VIAJES,TRUE,-0.5
32986,Nautalia_319_Elche,1555,NAUTALIA VIAJES,TRUE,-0.5
32987,Nautalia_320_Elche,1555,NAUTALIA VIAJES,TRUE,-0.5
32988,Nautalia_522_ArandaDeDuero,1555,NAUTALIA VIAJES,TRUE,-0.5
32989,Nautalia_526_Leon,1555,NAUTALIA VIAJES,TRUE,-0.5
32990,Nautalia_529_Salamanca,1555,NAUTALIA VIAJES,TRUE,-0.5
32991,Nautalia_516_Salamanca,1555,NAUTALIA VIAJES,TRUE,-0.5
32994,Nautalia_611_Segovia,1555,NAUTALIA VIAJES,TRUE,-0.5
32995,Nautalia_314_Soria,1555,NAUTALIA VIAJES,TRUE,-0.5
32996,Nautalia_517_Valladolid,1555,NAUTALIA VIAJES,TRUE,-0.5
32997,Nautalia_523_Valladolid,1555,NAUTALIA VIAJES,TRUE,-0.5
32998,Nautalia_515_MedinaDelCampo,1555,NAUTALIA VIAJES,TRUE,-0.5
32999,Nautalia_542_GruposValladolid,1555,NAUTALIA VIAJES,TRUE,-0.5
33000,Nautalia_448_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33001,Nautalia_438_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33002,Nautalia_440_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33004,Nautalia_437_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33005,Nautalia_447_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33006,Nautalia_416_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33007,Nautalia_441_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33008,Nautalia_430_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33010,Nautalia_130_LogroÃ±o,1555,NAUTALIA VIAJES,TRUE,-0.5
33011,Nautalia_412_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33012,Nautalia_121_LogroÃ±o,1555,NAUTALIA VIAJES,TRUE,-0.5
33013,Nautalia_449_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33014,Nautalia_450_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33015,Nautalia_543_GruposVigo,1555,NAUTALIA VIAJES,TRUE,-0.5
33016,Nautalia_454_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
